Allahabad College Of Engineering And Management, Allahabad
Allahabad degree college, Allahabad
Allahabad University Institute of professional studies, Allahabad
Allahabad University, Allahabad
CMP Degree College, Allahabad
Ewing Christian College, Allahabad
Government Girls Polytechnic, Allahabad
HMFA Memorial Institute of Engineering and Technology, Allahabad
IICS College, Allahabad
Indian Institute of Information Technology, Allahabad
INS Engineering & Management College, Allahabad
Institute of Engineering and Rural Technology, Allahabad
J.K Institute of Applied Physics and Technology, Allahabad
Madhu Vachaspati Institute of Engineering and Technology, Allahabad
MNNIT, Allahabad
Motilal Nehru Institute of Research and Business Administration, Allahabad
Sam Higginbottom University of Agriculture,Technology and Sciences, Allahabad
Shambhunath Institute of Engineering and Technology, Allahabad
United College of Engineering and Research, Allahabad
United College of Engineering and Management, Allahabad
United Institute of Technology, Allahabad
NIT Agartala, Agartala
Ahmedabad University, Ahmedabad
AMRUT MODI SCHOOL OF MANAGEMENT, Ahmedabad
Babaria institute of technology,vadodara, Ahmedabad
Dhirubhai Ambani Institute of Information and Communication Technology, Ahmedabad
Gandhinagar Institute of Technology, Ahmedabad
L.J. Institute Of Business Administration, Ahmedabad
L.J.I.E.T, Ahmedabad
Pandit Deendayal Petroleum University, Ahmedabad
Sal College of Engineering, Ahmedabad
Aligarh Muslim University, Aligarh
G.H.Raisoni College of Engineering and Management, Amravati
Government College of Engineering Amravati (GCOEA), Amravati
HVPM College Of Engineering And Technology, Amravati
Prof.Ram Meghe Institute of Technology & Research, Amravati
Shri Shivaji Science College, Amravati
Intell Engineering College, Ananthapur
Balasore College of Engineering and Technology, Balasore
Rajkiya Engineering College, Banda
Acharya Institute of Graduate Studies, Bangalore
AMC City Engineering College, Bangalore
Christ University, Bangalore
iNSTITUTE OF FINANCE AND INTERNATIONAL MANAGEMENT, Bangalore
International Institute of Information Technology, Bangalore, Bangalore
International school of Management excellence, Bangalore
Kalpataru Institute of Technology , Bangalore
M S Ramaiah Institute of Technology, Bangalore
National Institute of Business Excellence, Bangalore
New Horizon College of Engineering , Bangalore
NMIMS - Narsee Monjee Institute of Management Studies, Bangalore
Polytechnic, Bangalore
R. V. College of Engineering, Bangalore
RNS Institute of Technology, Bangalore
Purulia Polytechnic, Bankura
Giani Zail Singh Punjab Technical University Campus, Bathinda
C.V. Raman College of Engineering, Behramour
National Institute Of Science And Technology, Behrampur
BIHAR AGRICULTURAL UNIVERSITY, Bhagalpur
Manakya Lal Verma Textile and Engineering College, Bhilwara
MLV TEXTILE AND ENGINEERING COLLEGE, Bhilwara
Bansal Group Of Institutions, Bhopal
ICSI, Bhopal
IES College of Technology, Bhopal
Institute of Professional Education and Research (IPER), Bhopal
Jagran lakecity University City, Bhopal
Lakshmi Narain College of Technology, Bhopal
Malhotra Technical Research Institute, Bhopal
Maulana Azad National Institute Of Technology, Bhopal, Bhopal
Millennium Group Of Institutions, Bhopal
NRI Group of Institutions, Bhopal
Orential College of Engineering, Bhopal
Oriental Institute of Science and Technology, Bhopal
Patel Institute of Technology, Bhopal
Radharaman Engineering College , Bhopal
Radharaman Institute of Technology and Science, Bhopal
RKDF University, Bhopal
S.V Polytechnic College, Bhopal
Sagar Institute of Science Technology & Engineering, Bhopal
Samrat Ashok Technological Institute, Bhopal
SIRT, Bhopal
SISTEC-E, Bhopal
Technocrats Institute of Technology, Bhopal
truba institute of engineering and information technology. bhopal, Bhopal
University Institute of Technology, RGPV, Bhopal
BJB Autonomous College, Bhubaneswar
C. V. Raman College of Engineering, Bhubaneshwar, Bhubaneswar
College of Engineering and Technology, Bhubaneswar
College of Engineering Bhubaneswar, Bhubaneswar
Gandhi Engineering College, Bhubaneswar
Gandhi Institute for Technological Advance, Bhubaneswar
GANDHI INSTITUTE FOR TECHNOLOGICAL ADVANCEMENT, Bhubaneswar
GANDHI INSTITUTE FOR TECHNOLOGY, Bhubaneswar
Gandhi Institute of Technology & Management, Bhubaneswar
Hi tech Institute of Technology, Bhubaneswar
Hitech institute of technology, Bhubaneswar
Indian Institute of Technology Bhubaneswar, Bhubaneswar
Institute of Technical Education & Research, Bhubaneswar
International Institute of Information Technology, Bhubaneswar, Bhubaneswar
KIIT School of Management , Bhubaneswar
KIIT University, Bhubaneswar
Koustuva Institute of Self Domain , Bhubaneswar
Orissa Engineering College , Bhubaneswar
Prananath college, Bhubaneswar
Siksha O Anusandhan University, Bhubaneswar
Silicon Institute of Technology, Bhubaneswar
Trident Academy of Technology, Bhubaneswar
Xavier Institute of Management, Bhubaneswar, Bhubaneswar
Government College of Engineering and Technology, Bikaner
Government Engineering College, Bilaspur
Guru Ghasidas Vishwavidyalaya, Bilaspur
Veer Surendra Sai University Of Technology, Burla
Guru Nanak Institute of Technology, Mullana, Chandigarh
Panjab University SSG Regional Center, Chandigarh
PUIET, Chandigarh
University Business School, Chandigarh
Annamalai University , Chennai
Dr. M.G.R. Educational, Chennai
Dr. Magalingam college of Engineering & Technology, Pollachi. Coimbatore.(Tamil Nadu), Chennai
Great Lakes Institute of Management, Chennai
Hindustan University, Chennai
Karunya University, Chennai
Loyola Institute of Business Administration, Chennai
P.S.G College of Technology , Chennai
PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE, Chennai
Sri Sairam Engineering College,Chennai, Chennai
Sri Sairam Institute of Technology, Chennai
SRM University, Chennai
St Jospehps college of engineering, Chennai
VIT University, Chennai
Ravenshaw University, Cuttack
Soa University, ITER, Cuttack
Sri Sri University, Cuttack
DIT University, Dehradun
Graphic Era University, Dehradun
Guru Ram Das Institute of Management and Technology Ã¢Â€Âƒ, Dehradun
TulaÃ¢Â€Â™s Institute, Dehradun
University of Petroleum and Energy Studies , Dehradun
Uttaranchal institute of management, Dehradun
Uttaranchal Institute of Technology, Dehradun
 Jamia Millia Islamia, New Delhi , Delhi
Bhagwan Parshuram Institute of Technology, Delhi
Bhaskaracharya College of Applied Sciences,University of Delhi, Delhi
Ch. Brahm Prakash Government Engineering College, Delhi
College of vocational studies Delhi University, Delhi
Delhi Technological University, Delhi
Department of Business Economics, Delhi University , Delhi
Faculty of Management Studies, Delhi
IIT Delhi, Delhi
Indira Gandhi Institute of Technology, Delhi
Jamia Hamdard University, Delhi
Jawaharlal Nehru University, Delhi
Jesus and Mary College, Delhi
Kirori Mal College, Delhi
Maharaja agrasen institute of technology, Delhi
Netaji Subhas Institute of Technology, Delhi
Northern India Engineering College, Delhi
Shaheed Bhagat Singh College, Delhi
Shri Ram College of  Commerce, Delhi
Sri Aurobindo College , Delhi
Sri Aurobindo College (Evening), Delhi
Sri Venkateswara College, Delhi
The Institute of Chartered Accountants of India, Delhi
Translational Health Science and Technology Institute, Delhi
Vivekananda Institute of Advanced Studies, Delhi
Vivekananda Institute of Professional Studies, Delhi, Delhi
BIT Sindri, Dhanbad
Indian Institute of Technology, Dhanbad, Dhanbad
Bhilai Institute of Technology Ã¢Â€Â“ Durg , Durg
Christian College of Engineering and Technology, Durg
dignity college of Architecture Durg, Durg
Rungta College of Engineering & Technology, Durg
Shri Shankaracharya Institute of Technology and Management, Durg
B.C.Roy Engineering College, Durgapur
BCET Durgapur, Durgapur
Bengal Institute of Technology and Management Delete rows, Durgapur
DIATM, Durgapur
NATIONAL POWER TRAINING INSTITUTE DURGAPUR, Durgapur
NIT Durgapur, Durgapur
Manav Rachna International University, Faridabad
MVN University, Faridabad
YMCA University of Science and Technology, Faridabad
Leelaben Dashrathbhai Ramdas Patel Institute Of Technology And Research, Gandhinagar
Shankersinh Vaghela Bapu Institute of Technology, Gandhinagar, Gandhinagar
Birla Institute of Technology and Science, Goa
Birla Institute of Technology and Science, Pilani K.K. Birla Goa Campus, Goa
NATIONAL INSTITUTE OF TECHNOLOGY, GOA, Goa
Acharya Nagarjuna University, Guntur
Bapatla Engineering College, Guntur
K L University, Guntur
KKR and KSR Institute of Technology, Guntur
LIFE, Guntur
RVR & JC College of Engineering, Guntur
Vasireddy Venkatadri Institute of Technology, Guntur
Vignan University, Guntur
Gandhi Institute of Engineering and Teachnology, Gunupur
Ansal University, Gurugram
BML MUNJAL UNIVERSITY, Gurugram
Dronacharya College of Engineering, Gurugram
IILM Institute for Business and Management, Gurugram
Assam Engineering College, Jalukbari, Guwahati
IIT Guwahati, Guwahati
Indian Institute of Information Technology and Management, Gwalior
ITM University Gwalior, Gwalior
Madhav Institute of Technology and Science, Gwalior
Prestige Institute of Management, Gwalior
Dr. Meghnand Saha Institute of Technology, Haldia
Haldia Institute of Technology, Haldia
BIT Institute of Technology, Hindupur
Guru Jambheshwar University of Technology, Hisar
Al Habeeb College of Engineering and Technology, Hyderabad
AZAD COLLEGE OF ENGINEERING AND TECHNOLOGY, Hyderabad
B.V Raju Institute of Technology, Hyderabad
Chaitanya Bharathi Institute of Technology, Hyderabad
CMR ENGINERRING COLLEGE, Hyderabad
CMR Institutions , Hyderabad
CMR Technical Campus, Hyderabad
CVR College of Engineering, Hyderabad
CVSR College of Engineering, Hyderabad
Deccan College of Engineering and Technology, Hyderabad
GITAM University, Hyderabad
Gokaraju Rangaraju Institute of Engineering and Technology, Hyderabad
Guru Nanak Institute of Technology, Hyderabad
Guru Nanak Institutions Technical Campus, Hyderabad
Hyderabad Institute of Technology and Management, Hyderabad
ICFAI, Hyderabad
IIT Hyderabad , Hyderabad
JNTUH College of Engineering Hyderabad, Hyderabad
KMIT, Hyderabad
Mahatma Gandhi Institute of Technology, Hyderabad
Mahindra Ecole Centrale, Hyderabad
Malla Reddy Engineering College, Hyderabad
Matrusri Engineering College, Hyderabad
Maturi Venkata Subba Rao Engineering College, Hyderabad
Methodist College of Engineering & Technology, Hyderabad
National Institute of Fashion Technology (NIFT), Hyderabad
RGUKT IIIT, Hyderabad
RVR Group of Institutions, Hyderabad
Shadan College of Engineering and Technology, Hyderabad
Sreenidhi Institute of Science and technology , Hyderabad
Sreyas Institute of Science & Technology, Hyderabad
Sri Indu College of Engineering and Technology, Hyderabad
Swami Vivekananda Institute of Technology, Hyderabad
TKR College of Engineering & Technology, Hyderabad
University of Hyderabad, Hyderabad
Vardhaman College of Engineering, Hyderabad
Vasavi College of Engineering, Hyderabad
Vignan University, Hyderabad
Vignana Bharati Institute of Technology, Hyderabad
Vijaya School of Business Management , Hyderabad
Visiontech College Of Engineering, Hyderabad
VNR Vignana Jyothi Institute of Engineering and Technology, Hyderabad
Warangal Institute of Technology, Hyderabad
Acropolis Institute of Technology and Research, Indore
CDGI, Indore
Government Engineering College of Ujjain, Indore
IET DAVV, Indore
Indore Institute of science and technology, Indore
Institute of engineering and science IPS academy, Indore
International Institute of Professional Studies, Indore
LNCT Indore, Indore
Lord krishna college of technology, Indore
Malwa Institute of Technology, Indore
Medi-Caps Institute of Science &Technology, Indore
Medi-Caps Institute of Technology & Management, Indore
MIT MANDSAUR, Indore
Oriental University, Indore
Prestige institute of engineering, management and research, Indore
Prestige Institute of Management and Research, Indore
Sanghvi Institute of management and science, Indore
Shri Govindram Seksaria Institute of Technology and Science , Indore
Shri Vaishnav Institute of Technology and Science, Indore
Sir aurobindo Institute of technology, Indore
St. Paul Institute of Professional Studies , Indore
Sushila devi Bansal college of technology, Indore
Swami vivekanand college of engineering, Indore
Global College of Engineering and Technology, Jabalpur
GS College of Commerce and Management, Jabalpur
Guru Ramdas khalsa Institute of Science and Technology, Jabalpur
Gyan Ganga College Of Technology (GGCT), Jabalpur
Gyan Ganga Institute of Technology & Sciences (GGITS), Jabalpur
Hitkarini College of Engineering and Technology, Jabalpur
ICFAI National College College of Materials Management, Jabalpur
Indian Institute of Information Technology, Design and Manufacturing(IIIT-DM), Jabalpur
Jabalpur Engineering College (JEC), Jabalpur
Lakshmi Narain College of Technology (LNCT), Jabalpur
Mata Gujri Mahila Mahavidyalaya, Jabalpur
Millennium College of Professional Education, Jabalpur
Oriental Engineering College, Jabalpur
Oriental Institute Of Science & Technology (OIST), Jabalpur
Prakash Institute of Technology, Jabalpur
Radhaswami Institute of Engineering, Jabalpur
Rani Durgavati Vishwavidyalaya, Jabalpur
Saraswati Institute of Technology, Jabalpur
SGBM Institute of Technology & Science, (SGBMITS), Jabalpur
Shri Ram Institute of Management, Jabalpur
Shri Ram Institute of Technology, Jabalpur
St. Aloysius College, Jabalpur
Takshila College of Engineering and Technology, Jabalpur
University Institute of Management, Jabalpur
Vindhya Institute of Technology & science (VITS), Jabalpur
Xavier Institute of Management, Jabalpur
Government Engineering College, Jagdalpur
Amity University Rajasthan, Jaipur
Apex Group of Institutions, Jaipur
Banasthali University, Jaipur
Birla Institute of Technology and Science, Jaipur
BIT Jaipur, Jaipur
BIT Mesra Jaipur Campus, Jaipur
Biyani Group Of Colleges, Jaipur
Chanakya teacnical campus, Jaipur
Engineers Academy, Jaipur
Global Institute of Technology , Jaipur
International College for Girls, Jaipur
Jaipur National University, Jaipur
JECRC UDML College of Engineering , Jaipur
JECRC University, Jaipur
LNMIIT, Jaipur
Maharishi Arvind College of Engineering & Research Center, Jaipur
Maharishi Arvind Institute of Engineering & Technology, Jaipur
Malaviya National Institute of Technology, Jaipur
Manipal University Jaipur, Jaipur
PIET, Jaipur
Poonima Group of Institutions, Jaipur
Poornima College of Engineering, Jaipur
Poornima University, Jaipur, Jaipur
Suresh Gyan Vihar School of Engineering & Technology, Jaipur
Swami Keshvanand Institute Of Technology, Jaipur
University of Engineering and Management, Jaipur, Jaipur
Yagyavalkya Insitute of Technology , Jaipur
Yagyavalkya Institute of Technology, Jaipur
Dr. B. R. Ambedkar National Institute of Technology Jalandhar, Jalandhar
Lovely Professional University, Jalandhar
Jalpaiguri Government Engineering College, Jalpaiguri
MBS College Of Engineering And Technology (MBSCET), Jammu
Shri Vaishno Devi University, Jammu
Jain College Jamshedhpur, Jamshedhpur
National Institute of Technology, Jamshedpur, Jamshedhpur
Netaji Subhas Institute of Business Management, Jamshedhpur
XLRI - Xavier School of Management, Jamshedhpur
R.V.S COLLEGE OF ENGINEERING AND TECHNOLOGY, Jamshedpur
JIET, Jodhpur
MBM, Jodhpur
Mulungushi University, Kabwe
Allenhouse Institute of Technology, Kanpur
Apollo Institute of Technology, Kanpur
Axis college, Kanpur
Dr. Gaur Hari Singhania Institute Of Management & Research, Kanpur
Dr. Virendra Swarup Group of Institutions, Kanpur
Dr. Virendra Swarup Institute of Computer Studies (VSICS), Kanpur
Harcourt Butler Technical Institute, Kanpur
Indian institute of technology kanpur, Kanpur
Jagran College Of Arts, Science And Commerce, Kanpur
Kanpur Institute of Technology, Kanpur
Krishna Institute of Technology, Kanpur
Maharana Pratap Engineering College, Kanpur
Pranveer Singh Institute of Technology, Kanpur
Jyothismathi Institute of Technological Sciences, Karimnagar
IIT Kharagpur, Kharagpur
 SWAMI VIVEKANANDA INSTITUTE OF SCIENCE AND TECHNOLOGY. , Kolkata
Academy of Technology , Kolkata
Adamas Institute of Technology, Kolkata
Adamas University, Kolkata
Aliah University, Kolkata
Amity University, Kolkata
Army Institute of Management, Kolkata, Kolkata
B. P. Poddar Institute of Management & Technology , Kolkata
Calcutta Business School, Kolkata
Calcutta Institute of Engineering and Management, Kolkata
Calcutta Institute of Technology, Kolkata
FUTURE INSTITUTE OF ENGINEERING AND MANAGEMENT, Kolkata
Globsyn Business School, Kolkata
Heritage Institute of Technology, Kolkata
hooghly engineering and technology college , Kolkata
I LEAD, Kolkata
Indian Institute of Engineering Science and Technology, Shibpur, Kolkata
Institute Of Engineering & Management, Kolkata
International Management Institute Kolkata, Kolkata
J.D.Birla Institute, Kolkata
Jadavpur University, Kolkata
JIS COLLEGE OF ENGINEERING, Kolkata
Kalyani Government Engineering College, Kolkata
Meghnad Saha Institute of Technology, Kolkata
Narula Institute of Technology , Kolkata
Neotia Institute of Technology, Management and Science, Kolkata
Netaji Subhash Engineering College, Kolkata
NLSIU, Bangalore, Kolkata
Prafulla Chandra College, Kolkata
Presidency University, Kolkata
RCC IIT, Kolkata
Scottish Church College, kolkata, Kolkata
Shri Shikshayatan College , Kolkata
St. Thomas College of Engineering and Technology, Kolkata
Techno , Kolkata
Techno India College of Technology, Kolkata
Techno India Salt Lake - B.Tech, Kolkata
Techno India Salt Lake - MBA Section, Kolkata
Techno India School of Management Studies, Kolkata
Techno India University, Kolkata
The Bhawanipur Education Society College, Kolkata
University of Engineering & Management,Kolkata(UEMK), Kolkata
Institute of Management Studies(IMS),kurukshetra university, Kurukshetra
NIT Kurukshetra, Kurukshetra
Amity University, Lucknow
Babu Banarasi Das Northern India Institute of Technology, Lucknow
BBAU Lucknow, Lucknow
City Montessori,  Lucknow, Lucknow
Indian Institute of Management Lucknow, Lucknow
Institute of Engineering and Technology, Lucknow
Integral University, Lucknow
Jaipuria Institute of Management Ã¢Â€Âƒ, Lucknow
S V M Inter College, Lucknow
Sri Ramswaroop Memorial College of Engineering and Management Lucknow, Lucknow
Manipal Institute of Technology
, Manipal
Manipal Institute of Technology, Manipal
GLA University Mathura, Mathura
Lions School, Mirzapur
Chandigarh University, Mohali
 K.J. Somaiya college, Mumbai
Aditya Institute of Management Studies, Mumbai
Atharva College of Engineering , Mumbai
BT Institute Of Journalism, Mumbai
Durgadevi Saraf Institute of Management Studies, Mumbai
K. J. Somaiya College of Engineering, Mumbai
K. J. Somaiya Institute of Management Studies and Research, Mumbai
K.J. Somaiya college of engineering, Mumbai
Nagindas Khandwala College, Mumbai
Sardar Patel College of Engineering, Mumbai
Sardar Patel Institute of Technology, Mumbai
St. Francis Institute of Technology, Mumbai
Sydenham Institute of Management Studies, Research and Entrepreneurship Education, Mumbai
Tata Institute Of Social Science, Mumbai
Thadomal Shahani Engineering College, Mumbai
Thakur Institute of Management Studies & Research, Mumbai
Vartak College of Engineering and Technology, Mumbai
Veermata Jijabai Technological Institute, Mumbai
Vidyalankar School of Information , Mumbai
Anjuman College, Nagpur
Dr Ambedkar Institute of Management and Research, Nagpur
G.H Raisoni College Of Engineering, Nagpur
GNIET, Nagpur
GS College of Commerce, Nagpur
Hislop College, Nagpur
IMT, Nagpur
Indian Institute of Management, Nagpur, Nagpur
Kavi Kulguru Institute Of Technology & Science , Nagpur
MGI Group of Institutions, Nagpur
Nagpur Institute of Technology, Nagpur
Priyadarshini College of Engineering, Nagpur
Priyadarshini Institute of engineering and Technology, Nagpur
Priyadarshini Lokmanya Tilak Institute of Management Studies & Research, Nagpur
SB Jain, Nagpur
Shatayu College of Professional Studies, Nagpur
Shri Ramdeobaba College of Engineering and Management, Nagpur
